Value1: 74585653, Value2: 274285, Difference: 74311368
Value1: 510597, Value2: 87055911, Difference: -86545314
Value1: 281541, Value2: 69263227, Difference: -68981686
Value1: 598057, Value2: 33558565, Difference: -32960508
Value1: 61075985, Value2: 692146, Difference: 60383839
Value1: 15289866, Value2: 891546, Difference: 14398320
Value1: 36177758, Value2: 594344, Difference: 35583414
Value1: 789858, Value2: 24794291, Difference: -24004433
Value1: 50041637, Value2: 912172, Difference: 49129465
Value1: 47835422, Value2: 461236, Difference: 47374186
Value1: 64889161, Value2: 22200, Difference: 64866961
Value1: 40003770, Value2: 272867, Difference: 39730903
Value1: 203402, Value2: 2874875, Difference: -2671473
Value1: 86535903, Value2: 94648, Difference: 86441255
Value1: 31645, Value2: 90162863, Difference: -90131218
Value1: 42842850, Value2: 521901, Difference: 42320949
Value1: 234414, Value2: 2053916, Difference: -1819502
Value1: 84021885, Value2: 304875, Difference: 83717010
Value1: 206697, Value2: 42753152, Difference: -42546455
Value1: 34709415, Value2: 24404, Difference: 34685011
Value1: 220158, Value2: 21628084, Difference: -21407926
Value1: 74862296, Value2: 220971, Difference: 74641325
Value1: 60788355, Value2: 610433, Difference: 60177922
Value1: 21019191, Value2: 32738, Difference: 20986453
Value1: 294669, Value2: 98469614, Difference: -98174945
Value1: 76821939, Value2: 744561, Difference: 76077378
Value1: 5746547, Value2: 993500, Difference: 4753047
Value1: 604100, Value2: 53219854, Difference: -52615754
Value1: 62149, Value2: 2845105, Difference: -2782956
Value1: 70562901, Value2: 413195, Difference: 70149706
Value1: 499708, Value2: 52850770, Difference: -52351062
Value1: 32415, Value2: 11188238, Difference: -11155823
Value1: 60029525, Value2: 142524, Difference: 59887001
Value1: 85399, Value2: 97505753, Difference: -97420354
Value1: 23714618, Value2: 143419, Difference: 23571199
Value1: 95463360, Value2: 980332, Difference: 94483028
Value1: 89020712, Value2: 49218, Difference: 88971494
Value1: 503857, Value2: 31398610, Difference: -30894753
Value1: 38062111, Value2: 115742, Difference: 37946369
Value1: 71589131, Value2: 130430, Difference: 71458701
Value1: 57219548, Value2: 216266, Difference: 57003282
Value1: 957937, Value2: 57788638, Difference: -56830701
Value1: 86945399, Value2: 116234, Difference: 86829165
Value1: 429004, Value2: 98040672, Difference: -97611668
Value1: 11007474, Value2: 75791, Difference: 10931683
Value1: 9603699, Value2: 820520, Difference: 8783179
Value1: 278667, Value2: 64155316, Difference: -63876649
Value1: 756772, Value2: 48731054, Difference: -47974282
Value1: 122754, Value2: 88133191, Difference: -88010437
Value1: 76066323, Value2: 368293, Difference: 75698030
Value1: 47392965, Value2: 455185, Difference: 46937780
